umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
MalditosRoedores|Mikel Straus, portavoz del grupo conservador en el parlamento europeo: ` Si se promulga una ley de amnistía inconstitucional solo para mantener a los socialistas en el poder, deber ser elevado a nivel europeo. El gob. de izquierda está desmantelando el Estado de Derecho, la separación de poderes y la igualdad de los españoles; es obvio que la democracia española está en peligro.
Casilleros|Indecente el Fiscal e indecente el presidente que le sostiene. No nos merecemos esta basura que nos gobierna. Pablo Escobar o Al Capone tenían más dignidad que Sánchez.
_Placebo72|@ROQUEDETIERRA #631 Cerrar PSOE: Tranquilo Álvaro, ya Cándido está al tanto de todo. Él arreglará ésto que para eso lo tenemos.. Usted cree? Piensa que Marchena, LLarena , Hurtado y demás amiguitos del PP permitirán tal desenlace? Que poco conoce usted al Clan de los Genoveses y sus apéndices judiciales, la verdad.
ntl|@_Placebo72 #593 Cerrar @ ntl # 584 Ay señora. El PP lo prometió, lo pudo hacer pero como estaba cubierto de M. hasta los cimientos de Génova 13, esperó a estar en la oposición para exigirlo. El PP nunca cede en nada si no sale beneficiado en todo. Por favor, no sea tan ilusa. Ya he explicado por qué ningún partido lo cambió en #584 Cerrar @ _Placebo72 # 477 El pp prometió cambiarlo y no lo hizo porque es una mafia. El psoe pudo cambiarlo y no lo hizo porque es una mafia. Ahora todos los que defendieron que volvieran a repartirse los jueces a llorar acusando de jueces corruptos. Los motivos de ambos son idénticos y absolutamente irrelevantes para mi punto: aquel que defendió y defiende que se sigan repartiendo los jueces que no me venga llorando con "pepejueces" o "jueces rojos".
Quetevotetxapapote|Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero Hurtado (que no supo quién era M. Rajoy), sale raudo en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no).
WILLY_NILLY|@ADELE_ #608 Cerrar Según informan, los servicios sociales se han llevado a los hijos de Fuhrilo. Por lo visto llevaban días sin comer y sin ducharse. Por qué no te callas y dejas de decir tonterías???
Viano43|@ADELE_ #634 Cerrar @ Yamuy # 616 Tú también defraudas a Hacienda, como el novio de Ayuso? Yo es que no. Y cálmate. jajujuajua jajaja y tú te vas de pilinguis con Abalos con el dinero de tod@s eh!!!! rojeras
ADELE_|@Tomasone #632 Cerrar @ ADELE_ # 545 Tu no te hagas tampoco ilusiones, que en kta calle se cobra menos @Tomasone #625 Cerrar @ ADELE_ # 556 Pero tu tranquila, que tu oficio seguirá @Tomasone #624 Cerrar @ FURILO # 570 Jajajaja, miy bueno @Tomasone #623 Cerrar @ ADELE_ # 571 Cobras tus servicios con tarjeta, y los deciaras? Pensaba que todas cobrabais en efectivo Apártense, señores. El hermano de Ayuso está a punto de reventar de la rabia y lo a a poner todo perdido.
Viano43|Un fiscal delincuente, ni en una película!!!
Viano43|@ADELE_ #620 Cerrar @ Kheops # 589 Cálmese, tómese un tila y ya si eso vuelva a dirigirse a mí. tú tomate mejor la medicación porque deliras
PAUS|@QuieroLibertadNoUnP_toAmo #645 Cerrar En 2011 el ministro de Energia del Reino Unido tuvo que dimitir por mentir sobre una multa de tráfico de años anteriores....en cambio aquí ya vamos a la cola en cuanto a control de la corrupción, por detrás de Botsuana y Ruanda según "Transparencia Internacional". Es delirante. A ver. A mi lo de dimitir por una multa me parece excesivo pero lo de esta gente es clamoroso. Sobre todo porque yo estoy segurísima que tanto GO como la de REE quisieron dimitir y no les dejaron.
Blankito|El sectarismo paleto de la izquierda nos terminará llevando al Chavismo ¿ viva el progresismo ..
Rakataplan|@tienesrazon #628 Cerrar ¿Y por qué Europa no hace nada?. ¿Ven normal que un Fiscal General del Estado esté procesado por revelación de secretos y no dimita?. ¿Ven normal que todo un Gobierno ataque al Poder Judicial e insulte a los jueces?. ¿Éso es normal en una democracia dentro de la UE?. Por favor, que vergüenza. Lo que no ve normal Europa y está horrorizada es con la oposición franquista que aún sobrevive en España. Von Der Leyen horrorizada de que en su país a los n4z1s se los encarcela y en España a los franquistas se los ensalza.
_Placebo72|@pepote25 #635 Cerrar @ Tomasone # 623 ¿Que clase de servicios va hacer la anciana decrépita? ¿tu contratarías a una anciana para algo? Yo , a un anciano que bebe el vino como si fuera agua en un desierto, seguro que no.
Curul|Sánchez, dimite ya de una vez. Libéranos de tu presencia.
Unolibre|Lo más peligroso para una democracia no es un político corrupto.... Lo más peligroso para una democracia es que la justicia sea corrupta.. y sinceramente el PPvox.... Sin los partidos más corruptos esta es otro cortina de humo de la justicia todos estos casos quedan en nada pero hacen daño... Podemos, Pablo Iglesias.... Ayer una Mi.... De Manifestación, vamos cortita de Humo para el PPvox pero aquí están todos los palmeros fachitrabajadores aplaudiendo a sus amos....
ADELE_|@_Placebo72 #630 Cerrar @ Tomasone # 619 Expliquemelo usted, por favor, que se nota que sabe de que va el tema porque se nota que es partidario de ambos, claro. Y si puede póngale a Tomasón la antirrábica, hoy echa espuma por la boca. Creo que es por el fracaso de la mani de ayer.
Nomegustalasmafias|@FURILO #502 Cerrar Segun Pumpido, El TC juzgará a Ayuso, por las mas de 9.000 personas muertas en Paracuellos. La democracia esta volviendo a este pais!! A Ayuso......jajajajajajajaja, este Pumpido está perdiendo la perola.
Nomegustalasmafias|Sánchez, siempre te quedará Venezuela, por cierto donde anda la catedrática?
ADELE_|@Tomasone #625 Cerrar @ ADELE_ # 556 Pero tu tranquila, que tu oficio seguirá La excelente educación que recibió Tomasón de pequeño. Y luego se queja de los demás, es alucinante.
No_mas_politicos|@ADELE_ #621 Cerrar @ ricardito_47 # 588 Exacto, ya es culpable porque lo ha decidido usted. Los patriotas pasan de los juicios, pasan de la justicia, pasan de todo. pues usted enjuicia que es un primor. Determinó que el señor Mazon es un asesino, que la pareja de la Presidenta es un defraudador, que la misma Presidenta es una asesina, que el expresidente González enterraba muy bonito, y que no se cuántas más lindezas,todo lo que huela a lo que usted no comulga lo intenta destruir o desprestigiar. Lo suyo es preocupante, se abandera en ser una persona cultivada y se muestra como todo lo contrario.
ADELE_|@No_mas_politicos #626 Cerrar @ ADELE_ # 571 la he respondido en otra noticia y carece usted de educación democrática y civismo. La función de un fiscal general no es destruir a un adversario político a través de difundir las presuntas irregularidades que tenga la pareja con Hacienda. La misión de un fiscal es ser garante de los derechos fundamentales de los ciudadanos y presentar los cargos que crea sea constitutivos de delito a su señoría. Jamás, en ningún país democrático, un fiscal general se prestaría a utilizar los datos para destruir políticamente a un adversario de la oposición, primero porque el fiscal general no es un cargo político, no encausa por ideología, si no por hechos delictivos. Lo del señor que presuntamente defraudó, lo determinará su señoría cuando llegue el caso. Aprenda a respetar para que la respeten, señora Ya, pero le he hecho una pregunta: ¿Cómo le puede parecer normal que alguien defraude 350000 euros, qué clase de español es usted?
Atlanta47|@pacobruno #585 Cerrar Si Sánchez cree que de verdad esta en su mejor momento en cuanto a la economía, la vivienda, el paro, la sanidad, la duda publica, el IPB... Debería convocar elecciones inmediatamente, lo mismo ganaba unas elecciones por primera vez en su vida. Pero aw ira con las ganas, por no haberlo conseguido nunca. Ni lo conseguirá en su vida.
luthier|Da igual, si le condenan el UNO le indulta o le amnistía.
