umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
Novale|@Quetevotetxapapote #271 Cerrar Que hoy el ABC dedique la portada a Alcaraz y a un torero el día después de que Nunez Feijoo se la jugara todo a una manifestación en Madrid -donde pinchó- es señal evidente que el PP ya está apostando por Ayuso como la nueva candidata. Ayuso, unificará a las derechas en una nueva CEDA, mezcla de Queipo de Llano y Primo de Rivera. Y Feijóo ha sido como aquel efímero Hernández Mancha que solo sirvió para ganar tiempo entre Fraga y Aznar. ojalá. Si hicieran eso el psoe gobernaría otros 8 años. Suficientes para llegar al pleno empleo y resolver de una vez los problemas de este país.
condosco80|Me alegro, que le juzguen. Pero sin olvidar que detras de esta filtracion esta un defraudador de millones de euros a Hacienda que resulta ser el novio de la Presidenta de la Comunidad de Madrid. Vaya panorama.
Novale|La pena es que el novio de Ayuso sea tan tonto, no le dejan hablar para que no la pifie. Pobrecillo, en el fondo da pena.
slanny|"De quien depende la fiscalía? Pues eso.". Fraudillo dixit. Pues majo, si depende de ti, ya sabes. Cierra la puerta al salir.
Indomito|@Quetevotetxapapote #271 Cerrar Que hoy el ABC dedique la portada a Alcaraz y a un torero el día después de que Nunez Feijoo se la jugara todo a una manifestación en Madrid -donde pinchó- es señal evidente que el PP ya está apostando por Ayuso como la nueva candidata. Ayuso, unificará a las derechas en una nueva CEDA, mezcla de Queipo de Llano y Primo de Rivera. Y Feijóo ha sido como aquel efímero Hernández Mancha que solo sirvió para ganar tiempo entre Fraga y Aznar. Ayusitis crónica ! Estás peor que tu amado líder !
Voxamnistiayreferendumpa2anos|A ver si asín le quitan el sueldo y dimite....!!!!
Con_tres_000|Isabelita Ayuso me recuerda a Elena de Troya pero sin bigote. La que se está montando con ella. Estos izquierdosos son unos machistas, no toleran que una damisela les dé por el saco en las elecciones. Y lo que es peor aún, con novio o sin él, les va a seguir dando. Cosas de la democracia.
Indomito|Han tocado a zafarrancho ! Están aquí todos los bots de Ferraz !
_Placebo72|@El_futuro_ya_paso #257 Cerrar Disculpen a @ ADELE_ # 221, hoy no ha tomado la medicación y con esta noticia está especialmente rabioso. No contesten, pulsen el botón de denunciar y a otra cosa mariposa. Que extraño que usted esté por aquí,con lo trabajador que es, Sr El_futuro_sin_vida_laboral.
FlyRobinFly|Y Vds dónde creen que carasartén lucirá más y mejor? En la renovada Alcatraz o en las de Bukele?
Efeso74|@ADELE_ #268 Cerrar @ Viano43 # 232 Señor, le recuerdo que en este medio podemos opinar todos. Nosotros los demócratas, y ustedes también. usted no es demócrata, es paniaguada socialista.
Rakataplan|Otra prueba más de que la Transición fue un timo. Ayer hasta Feijóo "el moderado" jaleaba a Fraga, un "demócrata de toda la vida". Hoy desayunamos con Hurtado, un juez "como dios manda".
gonzalor|Pedro Sánchez ya debe tener preparado el indulto.
Musiker81|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. Como si fuese a servir para algo que lo juzgaran...
_Placebo72|"El portavoz del PP en el Senado, a sus compañeros: "Controlaremos la sala segunda (del Supremo) desde detrás". Y dónde desarrolla su impecable trabajo el juez Hurtado? Coincidentemente, en la sala segunda del Supremos, oiga.
robert_kincaid|@toni22 #220 Cerrar Todo esto DA IGUAL. Mientras los pensionistas vean aumentadas sus pensiones año tras año, NO PASA NADA. Sus hijos y sus nietos no podrán tener un sueldo ni una vivienda digna, pero los pensionistas van bien. Entonces, la conclusión, es que sufran hijos y nietos, que los abuelos están bien. España va bien, esa es la conclusión. Y Sánchez lo sabe, por eso hay que revalorizar las pensiones aunque haya que recurrir a más deuda en un momento en que se pagan más impuestos que nunca. vd. Muy listo no es, ¿verdad?
XTerra|@ADELE_ #221 Cerrar @ Toma_Asiento # 190 Tiene que ver con que los familiares de las 228 víctimas de Mazón siguen esperando que se haga justicia, o que por lo menos Mazón se reúna con ellas. Sigue intentando defender a tu empleador con estas "nubes de humo". No te sirve de nada... la justicia en España si que funciona.
ADELE_|@Ciertamente_circunspecto #212 Cerrar Alvarone, compra jabón líquido, mejor que no se te caiga una pastilla de jabón al suelo. Son muy resbaladizas. Y el novio de Ayuso que se ponga peluca en las duchas de la cárcel, a lo mejor así no le reconocen.
ADELE_|@No_voto_a_nadie #217 Cerrar Si Hurtado hubiera decidido no procesar al fiscal general, estaría reconociendo que su instrucción ha sido una chapuza desde el primer momento. No le quedaba más remedio que procesarle para no hacer el ridículo. Por su parte, García Ortiz puede estar bien tranquilo, saldrá absuelto. Sí, usted casi mejor que no vote, gracias.
ADELE_|Disculpen a @El_futuro_ya_paso #223 Cerrar Tenemos un tipo que se supone que tiene que velar por los intereses del estado enviado a juicio porque utiliza los resortes del estado para perjudicar a ciudadanos particulares por su relación personal y sentimental con políticos de partidos que hacen oposición al partido socialista que es quién le ordena, manda y paga. , se piensa que esto le da a Vox alguna probabilidad de gobernar. Bendita ingenuidad andaluza.
Burgos2|@GranCanarion #227 Cerrar P'alante AYUSO Y SU CHURRI TIC TAC
dabalearrozalazorraelabad|@No_voto_a_nadie #217 Cerrar Si Hurtado hubiera decidido no procesar al fiscal general, estaría reconociendo que su instrucción ha sido una chapuza desde el primer momento. No le quedaba más remedio que procesarle para no hacer el ridículo. Por su parte, García Ortiz puede estar bien tranquilo, saldrá absuelto. y si sale condenado, el TC obligará a que le perdonen. Este FGE reveló secretos, edo es delito. El que está tranquilo es González Amador, aunque le condenen, tiene la causa ganada en el TJUE porque el FGE reveló secretos.
Voxamnistiayreferendumpa2anos|Tiene tragaderas estos genocidas, por ahora va ganando Ortiz y pumpido , en tercera posición puigi, Bego y Yoli con la monterito
Epicnow|Dolores de Cospedal: "Al fiscal Grinda hay que matarlo". No aparece la noticia en este periódico, por lo que sea.
Brummie|Izquierdosos, se os ve un poquito alicaídos hoy. No pasa nada, os voy a pasar algo que os levantará la moral: parece que había un oficial de la UCO que quería atentar contra la vida del gran líder con una bomba lapa!! Si, en serio!! Y esto es lo mejor: está contratado por Díaz Ayuso!! Venga, esparcid esta "información" rápido a ver si algún deficiente mental como Óscar López se la traga :)))))
slanny|Quien va a pedir perdón al señor fiscal general del estado ahora? Quien? Fraudillo dixit.
Burgos2|@El_futuro_ya_paso #267 Cerrar Ista, ista, ista... La España Socialista PP TRES VECES CONDENADO POR CORRUPCION, JEJE. RATO, ZAPLANA ETC JEJE. AYUSO Y SYS ANCIANOS, POLICIA PATRIOTA, UCO PATRIOTA, MINISTRO DEL INTERIOR TIC TAC, ESTAIS ACABADOS JEJE. Y Q CURIOSO Q EL PSOE NO. JAJAJAJA
Pepesap2|@LaAmenazadeLosgolpistas #239 Cerrar Una accion más de la caceria nauseabunda de los "jueces del fango" contra el gobierno democrático de España. Un grupo de jueces ha puesto en práctica lo que les ordenó Aznar: "El que pueda prevaricar que prevarique". El inquisidor Hurtado intenta consumar su felonia judicial contra García Ortiz Toma tila...
Utopilitologo|Atención; Sí usted manifiesta signos de gatillazo, tome Ppjuecina. Reduce el ardor estomacal y retaguardia.
Plamenchu|Si se pudiera ahorcar a corruptos como estos, la justicia sería mucho más rápida y eficaz. Todo está inventado.
Trobio|Estáis procesando a la esposa del presidente del gobierno, estáis procesando a su hermano, ahora estáis procesando a su Fiscal General. ¿todavía os atrevéis a decir desde la ultra derecha que no hay una campaña contra el gobierno? ¡Como sigáis así vais a acabar con el derecho socialista a la corrupción!
Musiker81|¿De verdad os creéis que esto va a llegar a algo? Ilusos...
angry|Y el siguiente... el UNO. De quien es la Fiscalía? Pues eso!!
Quetevotetxapapote|Que hoy el ABC dedique la portada a Alcaraz y a un torero el día después de que Nunez Feijoo se la jugara todo a una manifestación en Madrid -donde pinchó- es señal evidente que el PP ya está apostando por Ayuso como la nueva candidata. Ayuso, unificará a las derechas en una nueva CEDA, mezcla de Queipo de Llano y Primo de Rivera. Y Feijóo ha sido como aquel efímero Hernández Mancha que solo sirvió para ganar tiempo entre Fraga y Aznar.
robert_kincaid|Un claro caso de prevaricación por parte del juez.
ADELE_|@Rakataplan #231 Cerrar ¿No era Hurtado de facto el abogado defensor de EmePuntoRajoy en la Gurtel? Uf, que tufillo a prevaricación... Claro, es que el juez Peinado no puede llevar todos los casos. Pero es que está muy liado con el de la Bego, un año de instrucción y todavía no ha encontrado nada delictivo.
ADELE_|@Viano43 #232 Cerrar @ mercurio1 # 224 claro claro ya vino el amigo de los rojos a hacer su particular justicia. Corre que te vas hacer kakita Señor, le recuerdo que en este medio podemos opinar todos. Nosotros los demócratas, y ustedes también.
El_futuro_ya_paso|Ista, ista, ista... La España Socialista
CR74|@Mr_Marshall #8 Cerrar Deberíamos salir a las calles a diario hasta que se convoquen elecciones. Esto es indecente e inaguantable. Creo que los que deberíamos estar permanentemente en las calles estamos (pre)ocupados trabajando, pagando impuestos, intentando levantar empresas y negocios... Una pena oiga, una pena...
Burgos2|@EL_AVISPERO #218 Cerrar P' Lante. CHURRI DE AYUSO JEJE
El_futuro_ya_paso|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. España es socialista.... ¿de qué se extraña?
Burgos2|@Paracelsa #219 Cerrar PALANTE CHURRI DE AYUSO JEJE
El_futuro_ya_paso|Aguanta, Alvaro... Aguanta¡¡¡¡¡
ADELE_|@Ras #179 Cerrar @ ADELE_ # 140 a ver acentos, qué tiene que ver una situación con la otra? Estás en tus cabales? Rabiando no se ganan unas elecciones, Ras. De ser así Vox habría sacado mayoría absoluta en 2023. Pero perdieron 19 escaños.
Viano43|Jarabe democrático
Viano43|A estas horas de la mañana estoy está lleno de rojos,claro ficharan y pasarán de currar como buenos rojos, como hacía Zapatero en su época en León, fichaba y al garito
El_futuro_ya_paso|Alvaro... p¿alante. Y recuerda tú a Extremera, Sanchez a Dominicana. Disfruta los próximos años.
El_futuro_ya_paso|Disculpen a @ADELE_ #221 Cerrar @ Toma_Asiento # 190 Tiene que ver con que los familiares de las 228 víctimas de Mazón siguen esperando que se haga justicia, o que por lo menos Mazón se reúna con ellas. , hoy no ha tomado la medicación y con esta noticia está especialmente rabioso. No contesten, pulsen el botón de denunciar y a otra cosa mariposa.
EugenGoldstein|A Mortadelo, más que juzgarlo, deberían apalearlo.
Indomito|@ADELE_ #197 Cerrar @ Juan_Sorribes # 148 Totalmente. Y Mazón aquel día estuvo todo el tiempo al pie del coñón, digo del cañón. Su gestión fue impecable, refrescante, ágil, moderna y audaz. Cuánto rojo sectario. estás en bucle con Mazón , cambia a la cara B del single .
Ras|Después de leer el auto del Supremo, Pedro Sánchez Pérez Castejon a Prisión
ADELE_|@Con_tres_000 #186 Cerrar Con ese peluquín a lo felpudo de la Cantudo, su señoría se va a distraer. Es la estrategia de la defensa. Para peluca la que se puso el novio de Ayuso para declarar, no? Dicen que se la eligió ella.
Segistobre|Ángel Hurtado: el juez que no vio la relación del PP con Gürtel es el que ahora envía a juicio al fiscal general.
mercurio1|Todos sabemos de pie cojea el jefe Hurtado,indicios no hay solo suposiciones
bigfigure|Tranquis todos , está Pumpido
ADELE_|@ZLuis #191 Cerrar @ ADELE_ # 56 Si Adelita se fuera con otro...... Adelita, necesitas un curso de comprensión lectora. Pruebas no hay? Hija, hijo o hije, lee el auto del supremo despacito o pide a un chavalín de 10 años que te lo explique. Claro, como las pruebas de Begoña, va a ir todo genial, ya verás.
Tortilla_de_mortadela|Todos sabemos en qué va a acabar esto. Y un aviso a la fachosfera: en las películas, las balas suelen ser infinitas, pero en la vida real no, y ya se os están agotando.
Indomito|Al ventrílocuo de Sánchez le están dejando sin marionetas .
ADELE_|@toni22 #194 Cerrar Qué hace un fiscal general IMPUTADO todavía en el cargo??? Esto sería inexplicable si no sabes que el presidente del gobierno es Sánchez. Ahí cualquier cosa es posible, pactar con independentistas, con etarras, tener el fiscal general imputado, su mujer, su hermano, su tesis falsa, etc etc etc. Y luego, encima, los izquierdosos estos dándoselas de superioridad ética y moral, ya para colmo!! ¿Y qué hace todavía en el cargo la que vive en un piso comprado con dinero defraudado a Hacienda? Pues tocarse el toto.
Quetevotetxapapote|Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, los jueces PPeros salen en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no).
ADELE_|@tienesrazon #195 Cerrar @ Veriteitor # 37 Y este tío siempre a favor de la corrupción del PSOE, pero claro, trabajando en Ferraz qué quieres. Y usted cuánto cobra del PP? Ah que no quieren saber nada de usted, que sienten vergüenza por usted. Pues como sus nietas, Don Chifletas.
fstjav|Ya ha salido la manada sanchista, a criticar la decisión del Tribunal Supremo , con sus embustes y bulos
ADELE_|@Dluck #149 Cerrar @ ADELE_ # 4 Estimada @ ADELE: no te he visto mucho por aquí, opinando sobre la fontanera ni sobre otros casos en los que el PSOE va en caída libre. ¿Es este un patético intento de salvarle la cara a este sonrisitas? (que por cierto, últimamente mucho ya no sonríe). A Pedro Trilero tampoco le podemos pedir su opinión, porque está escondido debajo de la mesa de SU Falcon, y no responde preguntas. Por otra parte, podéis estar tranquilos en Ferraz, porque los traidores del PNV os seguirán sosteniendo, que les venís muy bien. No me ha visto mucho por aquí? Pues póngase gafas, señor.
Cocolisso|En un país no democrático, este tipo estaría ya en prisión. En España se va muy lento...
UnMundano|Al final, hasta Venezuela se va a quedar corta...
LaAmenazadeLosgolpistas|Una accion más de la caceria nauseabunda de los "jueces del fango" contra el gobierno democrático de España. Un grupo de jueces ha puesto en práctica lo que les ordenó Aznar: "El que pueda prevaricar que prevarique". El inquisidor Hurtado intenta consumar su felonia judicial contra García Ortiz
moskorti|El comisionista y defraudador confeso pa cuando?
ADELE_|@Mr_Marshall #8 Cerrar Deberíamos salir a las calles a diario hasta que se convoquen elecciones. Esto es indecente e inaguantable. Eso, hay que convocar elecciones cada día hasta que salga lo que queramos los patriotas. Las de 2023 no cuentan, hacía musha caló.
Galanteo94|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. Tampoco hay en otros países el lawfare que hay aquí
ADELE_|@marioelfuncionario #9 Cerrar ¡Bueno, bueno, bueno, los amiguetes empiezan a ir P¿alante! Después de Begoñi, Abalorios (y Koldovarich). Ahora Cabezabuque. Nos vamos a divertir. A Marieta la funcionaria le dieron algún tipo de educación sus padres? No, estaban muy liados con otras cosas.
halconazul|Hurtado ya le había condenado, todas las pruebas que demuestren lo contrario no las tendría en cuenta.
Zzzaaasss|Pues palante.
Viano43|@mercurio1 #224 Cerrar El juez Hurtado aportando su granito para apoyar al pp,pero como dice Ayuso lo que cuenta es cada persona es un voto claro claro ya vino el amigo de los rojos a hacer su particular justicia. Corre que te vas hacer kakita
Rakataplan|¿No era Hurtado de facto el abogado defensor de EmePuntoRajoy en la Gurtel? Uf, que tufillo a prevaricación...
MalditosRoedores|Un titular dice que García Ortiz recibió indicaciones «de Presidencia del Gobierno» con el fin de «ganar el relato», un indicio. Podría ser que la otra fiscal que parece que está en la misma situación que este pajarraco de García Ortiz pudiera hablar, ha contratado a un abogado particular renunciando a la defensa jurídica del Estado. En cualquier caso al no haberse encontrado el correo (¿ podrían pedir las identificación de las cuenta de correos con los que hubo intercambio ?) no veo claro que se le pueda condenar, ¿ o sí ?
ADELE_|@ZLuis #216 Cerrar Adele, se que a ti te da igual que te dejen con el culo al aire con todas las gilitonterías que dices. Lo sé, pero que sepas que lo sabemos. Tu rollo no cuela. Y si crees que por poner comentarios chungos por aquí vas a salvar al chulángano, es que eres mas corta de lo que muestras. Te espero en las urnas, que si es verdad lo que dicen que el Psoe arrasa, las sacarán cuanto antes. O no? Claro, hay que convocar elecciones cada semana, hasta que salga lo que quieras tú. Las elecciones de 2023 no cuentan, hacía musha caló.
Ras|@mercurio1 #192 Cerrar Indicios no hay,el jefe del supremo se va estrellar jurista? O solo lobotizado zurdo
GranCanarion|P'alante
Camablan|@toni22 #220 Cerrar Todo esto DA IGUAL. Mientras los pensionistas vean aumentadas sus pensiones año tras año, NO PASA NADA. Sus hijos y sus nietos no podrán tener un sueldo ni una vivienda digna, pero los pensionistas van bien. Entonces, la conclusión, es que sufran hijos y nietos, que los abuelos están bien. España va bien, esa es la conclusión. Y Sánchez lo sabe, por eso hay que revalorizar las pensiones aunque haya que recurrir a más deuda en un momento en que se pagan más impuestos que nunca. qué tienen que ver los pensionistas? Después de toda la vida cotizando ahora quiere que el Estado les estafe?
mellaibi|Es el Fiscal General del Estado y no dimite ni el Presidente del Gobierno quiere cesarlo. Este es el país donde vivimos y pagamos impuestos. Yo, pasmada.
mercurio1|El juez Hurtado aportando su granito para apoyar al pp,pero como dice Ayuso lo que cuenta es cada persona es un voto
El_futuro_ya_paso|Tenemos un tipo que se supone que tiene que velar por los intereses del estado enviado a juicio porque utiliza los resortes del estado para perjudicar a ciudadanos particulares por su relación personal y sentimental con políticos de partidos que hacen oposición al partido socialista que es quién le ordena, manda y paga.
_Exiliadofiscal|Cada dia mas fango que el dia anterior, lo dicho, habrá elecciones adelantadas pero el año que viene, pero dejaran una imagen demasiado mal de España.
ADELE_|@Toma_Asiento #190 Cerrar @ ADELE_ # 140 ¿Qué tiene que ver Mazón en este debate? Tiene que ver con que los familiares de las 228 víctimas de Mazón siguen esperando que se haga justicia, o que por lo menos Mazón se reúna con ellas.
toni22|Todo esto DA IGUAL. Mientras los pensionistas vean aumentadas sus pensiones año tras año, NO PASA NADA. Sus hijos y sus nietos no podrán tener un sueldo ni una vivienda digna, pero los pensionistas van bien. Entonces, la conclusión, es que sufran hijos y nietos, que los abuelos están bien. España va bien, esa es la conclusión. Y Sánchez lo sabe, por eso hay que revalorizar las pensiones aunque haya que recurrir a más deuda en un momento en que se pagan más impuestos que nunca.
Paracelsa|PALANTE
EL_AVISPERO|P' Lante.
No_voto_a_nadie|Si Hurtado hubiera decidido no procesar al fiscal general, estaría reconociendo que su instrucción ha sido una chapuza desde el primer momento. No le quedaba más remedio que procesarle para no hacer el ridículo. Por su parte, García Ortiz puede estar bien tranquilo, saldrá absuelto.
ZLuis|Adele, se que a ti te da igual que te dejen con el culo al aire con todas las gilitonterías que dices. Lo sé, pero que sepas que lo sabemos. Tu rollo no cuela. Y si crees que por poner comentarios chungos por aquí vas a salvar al chulángano, es que eres mas corta de lo que muestras. Te espero en las urnas, que si es verdad lo que dicen que el Psoe arrasa, las sacarán cuanto antes. O no?
tienesrazon|@Fakejo #10 Cerrar Espero que ese juez sea denunciado por precaricador..y espero que sea ya .esto si que son las cloacas de nuestro país...jueces imputando delitos sin pruebas ...es un golpe de estado perseguir al fiscal general del estado.. ¿Cuál disgusto ha sido más gordo, el que ayer ganara Alcaraz o que hoy procesen a tu corrupto Fiscal General?. Vaya días malos que llevas fake.
mesnucao|Palante
YO511|Pues p'alante con él. Al jeta de Sánchez le dará igual y lo mantendrá en la poltrona.
Ciertamente_circunspecto|Alvarone, compra jabón líquido, mejor que no se te caiga una pastilla de jabón al suelo. Son muy resbaladizas.
Pelayo2001|Más vergonzoso incluso que tener a un Fiscal General procesado, es que no se le aplique el Estatuto del Ministerio Fiscal, que prevé la suspensión de empleo y sueldo para los Fiscales que están en la situación a la que ha llegado el FIscal General. La trampa de hoy de Bolaños y cia. es insistir en que el FG se encuentra dentro de la figura administrativa de servicios especiales (buena definición para lo que hace García) y no de servicio activo. O sea, consejos vendo que para mí no tengo. Panda de corrompidos.
abi3|@HomoSapiens #2 Cerrar Jajaja, estaba claro que daba igual que hubiese pruebas de que el correo obrara en manos de periodistas antes de que lo hiciera del FGE. Al juez se le ha olvidado que hace falta demostrar con pruebas que así fue y por lo qué ha trascendido no parece que existan. ni te olvides del cianuro. Eso también los tenian los periodistas que tú dices.
cheemita|La Rosa Nostra saldrá siempre impune, igual que ha salido impune toda la vida, y si los condenan, les harán la amnistía. Son absolutamente impunes. Ni una montaña de delitos puede parar a la mafia.
tienesrazon|@Schrodinger #19 Cerrar Qué vergüenza de Tribunal Supremo! Esto hace mucho daño a esta democracia, aunque a la derecha os dé exactamente igual. jajajaja, claro hombre, hace daño a la democracia juzgar a un fiscal corrupto, hay que dejar que el Fiscal General y el presidente del Gobierno sean unos delincuentes, que se corrompan libremente para hacer un bien a la democracia, ¿verdad?. No sé cómo puedes tener tan poca vergüenza.
228dead|@Madison #119 Cerrar @ 228dead # 41 ¿Es eso lo que ha dicho Sánchez a la militancia para justificar toda esta basura? Menudas tragaderas tenéis. Mucho criticar al PP por la corrupción pero si son el PSOE y la rosa nostra los mafiosos y corruptos, os quedáis calladitos y echando balones fuera. Sois iguales de cómplices y culpables que estos sinvergüenzas. que simpática y amable pareces, seguro que tu novio satisfacer te lo dice a todas horas...si supieras de que va este tema, que no lo sabes, dirías lo mismo, pero ya te lo digo yo, va de que el fiscal general desmintió lo que decía el abogado de la frutera sobre que la fiscalía quería hacer un trato con ese delincuente porque hacienda le debía dinero, de eso va la cosa madi son
Indomito|@da_igual_8_que_80 #167 Cerrar No hay pruebas pero que mas da.. bueno , pues si no hay pruebas incriminatorias saldrá absuelto , digo yo , así es la justicia , como el señor Camps !
ZLuis|@ADELE_ #49 Cerrar Ya no te dejan ni defraudar 350000 euros. País de envidiosos. A ver... si los ha defraudado mal está. Pero muchísimo peor es apalancarse 1.000 millones de los eres. O No? 350.000 - 1.000.000.000 Tu que crees?
Stopfascismo|Hurtado el de la gurtel q protegía a M. Rajoy. No es noticia lo acontecido. Es quien pueda hacer q haga. No hay q darle ninguna relevancia. Nadie será condenado pq de serlo el tirón de orejas vendrá de tribunales internacionales y será peor pero oye tenemos entretenidos a los ultras q así pueden seguir con sus manifas
albertgirona|Olé!!! DELINCUENTE!!! ... Dimitirá el Fiscal o seguirá la Política de Adorar al Gran Amo y hacer seguidismo del Autócrata, negando los pilares del Estado Social y Democrático de Derecho y del Ordenamiento Juridico???
Indomito|@Segistobre #159 Cerrar Ya lo dijo Aznar: "el que pueda hacer que haga". a vosotros os gustaría más que fuéramos dóciles , callados , ciegos y mancos . Dejar hacer y dejar pasar ¿ a la mafia .
GranCanarion|Al talego, por prevaricador
Juanmanuelito|@Schrodinger #19 Cerrar Qué vergüenza de Tribunal Supremo! Esto hace mucho daño a esta democracia, aunque a la derecha os dé exactamente igual. Que los dioses le conserven la optimista visión que tiene usted de la realidad española.
PAUS|@Madison #106 Cerrar Me apuesto lo que sea a que detrás de esto también esta Leire y su cuadrilla de fontaneros. Seguro que fue suya la idea de destruir las pruebas y los mails en su intento de librar a este peón de Sánchez. De momento hay audio de Leire admitiendo que ella es fontanera pero que está trabajando con la otra fontanería (para mí evidentemente una fontanería en fiscalía) lo llaman por ahí el equipo Fortuny.
ADELE_|@Juan_Sorribes #148 Cerrar @ ADELE_ # 52 La misma ridícula ceguera sectaria: los muertos de accidente se transforman en asesinatos, y el responsable no es el que anuló el plan hidrológico de 2004 que hubiese reformado el cauce y evitado 68 inundaciones en el barranco del Poyo porque molestaba a sus socios supremacistas catalanes, o sea Zapatero, ni la ministra que en 2012 lo aprobó y en 2022 lo volvió a parar porque hay que dejar al río que haga lo que quiera. No, el asesino es el que no dimitió en Valencia. Los otros, de ministros y de consejeros europeos, no tienen que dimitir... Es para descohonarse Totalmente. Y Mazón aquel día estuvo todo el tiempo al pie del coñón, digo del cañón. Su gestión fue impecable, refrescante, ágil, moderna y audaz. Cuánto rojo sectario.
evdemi|Este gobierno en pleno debería dimitir. No cabe una desvergüenza más.
tienesrazon|@Veriteitor #37 Cerrar Alguien dudaba de las intenciones de este juez, que incluso llegó a hacer unas declaraciones, defendiendo a la pareja de Ayuso. Recuerdan cuando Esperanza Aguirre , se escapó antes de multarla de los agentes de Madrid, tirando la moto encima de uno de ellos y fugándose , y no atendiendo las órdenes de detenerse durante la persecución , pues el juez Hurtado, de un juzgado de Madrid, fue el que libró del banquillo a esta señora, cuando fue denunciada en el juzgado por los agentes , prueben Vds a hacer lo mismo haber si también se libran, pues a las pocas semanas este juez fue designado por el CGPJ, controlado por el PP , al Tribunal Supremo y este mismo juez es el que ahora quiere meter entre rejas al fiscal general. Blanco y en botella. Y este tío siempre a favor de la corrupción del PSOE, pero claro, trabajando en Ferraz qué quieres.
toni22|Qué hace un fiscal general IMPUTADO todavía en el cargo??? Esto sería inexplicable si no sabes que el presidente del gobierno es Sánchez. Ahí cualquier cosa es posible, pactar con independentistas, con etarras, tener el fiscal general imputado, su mujer, su hermano, su tesis falsa, etc etc etc. Y luego, encima, los izquierdosos estos dándoselas de superioridad ética y moral, ya para colmo!!
Jorobado|Guau, el Fiscal General del Estado requeteimputado, lo de Pinocho y la PESO€ es de traca, ni en Burkina-Fasso, OH YHEA!
mercurio1|Indicios no hay,el jefe del supremo se va estrellar
ZLuis|@ADELE_ #56 Cerrar @ dabalearrozalazorraelabad # 38 Pues si tiene usted alguna prueba de que el fiscal fue el responsable de la filtración, pásesela al Supremo. Porque de momento no tienen ninguna. Si Adelita se fuera con otro...... Adelita, necesitas un curso de comprensión lectora. Pruebas no hay? Hija, hijo o hije, lee el auto del supremo despacito o pide a un chavalín de 10 años que te lo explique.
Toma_Asiento|@ADELE_ #140 Cerrar @ valenciano543 # 96 Y como valenciano, no le parece que la gestión de Mazón fue impecable y merece un aumento de sueldo? O una estatua. ¿Qué tiene que ver Mazón en este debate?
Der_Waldgang|@tienesrazon #156 Cerrar Sánchez hace muchas cosas históricas, pero ninguna buena, NI UNA. Ya tendría que estar en casa como mínimo, igual que Ortiz, si tuvieran un poco de vergüenza. En casa, no. En GITMO o en Alcatraz.
PepaGr|Y si la fiscalía depende de Sánchez, como él mismo dijo, detrás de Alvarone debe ir Sánchez, que fue quien le ordenó filtrar datos de un particular. Los dos a la cárcel. Elecciones Ya!
Juanmanuelito|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. En España todo es posble, que así lo vieron también en su día señalando a la Armengol, que ha llegado nada menos que a presidir el Congreso. Invito a visitar el blog "españoles quemados", mantenido por cuatro jubilados, y buscar la entrada: ESPAÑA, DONDE TODO ES POSIBLE. Gracias.
Con_tres_000|Con ese peluquín a lo felpudo de la Cantudo, su señoría se va a distraer. Es la estrategia de la defensa.
Destroyer17|Ya era hora, espero que esto sea el principio del fin de estos impresentables que nos están gobernando
Ras|@Ensaes #146 Cerrar ¿Como tapar el gatillazo de Feijoo de ayer? LOCO
Indomito|Toda Europa pendiente de Alcaraz , de la Roja y ahora de Alvarone .
hump|Realmente están consiguiendo la separación de poderes. El ejecutivo empieza a mirar a Alcalá-Meco y el legislativo al Puerto 2. A ver cómo continúan con el judicial. Forza Alvarone, pronto jugarás al teto con Pompisdo
lavozdelarue|@ADELE_ #52 Cerrar @ Umte # 27 Desde luego. Por ejemplo en Valencia el verbo "dimitir" no existe, te puedes cargar a 228 personas y como quien oye llover. Si, en España puedes provocar la muerte de 140.000 españoles con la "comisión de expertos" QUE NUNCA EXISTIÓ de la pandemia y sus manifestaciones " EL MACHISMO MATA MÁS QUE EL CORONAVIRUS" y no pasa nada, cuando deberían estar todos los que lo perpetraron en la cárcel por "asesinos" como llamáis a la Ayuso y trincones como Ábalos, Koldo, la Bego , la Leire y la santa compaña .Venga ADELE dedícate al cante...
Ratonbell|A la trena con el. Un trepa sacado de un juzgado perdido de la mano de Dios, precisamente para hacer el trabajo sucio al corrupto y cobarde de la Moncloa. Venga, vamos a seguir así que solo es lunes...
Ras|@ADELE_ #140 Cerrar @ valenciano543 # 96 Y como valenciano, no le parece que la gestión de Mazón fue impecable y merece un aumento de sueldo? O una estatua. a ver acentos, qué tiene que ver una situación con la otra? Estás en tus cabales?
Jony75|Justicia corrupta, que va ser lo siguiente, exonerar de 7291 + 223 muertos al pp? Vergüenza
amundsana|¡Palante! ¿Eh, Oscarito?
Nomegustalasmafias|Ya sabes, tres añitos por revelación de secretos y tú lo debes saber. Espero que se cumpla.
